time,S1,S2,I1,I2,R1,R2,W1,W2
162.35000000000002,2841.30620717099,1892.112028724297,93.6594044173693,116.17134280054816,7050.932523364934,7975.765098278591,47.633987117398604,103.12341631818322
162.4,2840.272204230387,1890.8374806315599,93.52118913302031,115.99196849496104,7052.10240183295,7977.2161186362,47.59185041274048,103.058978848772
162.45000000000002,2839.239699195726,1889.564853040018,93.38320563713314,115.81291832077939,7053.270554059045,7978.664898841513,47.549730091753794,102.99452589333654
162.5,2838.208689604048,1888.2941425669032,93.24545349225869,115.63419160524182,7054.43698293784,7980.111442941965,47.50762621524979,102.93005761986349
162.55,2837.179172997024,1887.0253458363584,93.10793226178643,115.45578767708983,7055.601691358494,7981.555754976593,47.46553884377561,102.865574195888
162.60000000000002,2836.1511469209554,1885.7584594794262,92.97064150994403,115.27770586656553,7056.764682204712,7982.997838976051,47.42346803761524,102.80107578849507
162.65,2835.1246089267574,1884.4934801340307,92.83358080179609,115.09994550540854,7057.925958354757,7984.437698962631,47.38141385679017,102.7365625643203
162.70000000000002,2834.0995565699504,1883.2304044449606,92.69674970324294,114.92250592685264,7059.085522681464,7985.875338950282,47.33937636106008,102.67203468955087
162.75,2833.075987410655,1881.9692290638577,92.56014778102018,114.74538646562361,7060.24337805224,7987.310762944625,47.29735560992373,102.60749232992666
162.8,2832.0538990135756,1880.7099506491948,92.42377460269705,114.56858645793555,7061.399527329088,7988.74397494298,47.25535166261951,102.54293565074099
162.85000000000002,2831.033288947997,1879.4525658662667,92.287629736676,114.39210524148855,7062.553973368608,7990.174978934372,47.21336457812636,102.47836481684176
162.9,2830.0141547877715,1878.1970713871706,92.15171275219136,114.21594215546553,7063.7067190220105,7991.603778899561,47.171394415164414,102.41377999263243
162.95000000000002,2828.9964941113108,1876.9434638907894,92.0160232193082,114.04009654052896,7064.857767135129,7993.030378811056,47.1294412321957,102.3491813420727
163,2827.980304501578,1875.6917400627813,91.88056070892173,113.86456773881874,7066.00712054842,7994.45478263313,47.087505087425,102.28456902867988
163.05,2826.965583546073,1874.4418965955572,91.74532479275578,113.68935509394832,7067.154782096994,7995.876994321847,47.045586038800394,102.2199432155295
163.10000000000002,2825.952328836831,1873.1939301882721,91.61031504336219,113.51445795100254,7068.300754610602,7997.297017825072,47.003684144014194,102.15530406525644
163.15,2824.940537970407,1871.9478375468059,91.4755310341196,113.33987565653442,7069.445040913661,7998.714857082492,46.96179946050357,102.09065174005593
163.20000000000002,2823.930208547868,1870.703615383746,91.34097233923214,113.16560755856183,7070.5876438252635,8000.130516025639,46.91993204545121,102.02598640168424
163.25,2822.9213381747863,1869.4612604183778,91.20663853372898,112.99165300656537,7071.7285661591795,8001.543998577899,46.878081955786215,101.96130821145996
163.3,2821.913924461225,1868.2207693766634,91.07252919346257,112.81801135148456,7072.8678107238775,8002.955308654542,46.83624924818465,101.8966173302647
163.35000000000002,2820.9079650217345,1866.9821389912306,90.93864389510824,112.6446819457156,7074.005380322525,8004.364450162728,46.79443397907039,101.83191391854416
163.4,2819.903457475341,1865.745366001356,90.80498221616277,112.47166414310817,7075.141277753003,8005.771427001532,46.75263620461581,101.7671981363091
163.45000000000002,2818.900399445534,1864.510447152947,90.67154373494319,112.29895729896212,7076.275505807919,8007.176243061966,46.710855980742416,101.7024701431361
163.5,2817.898788560263,1863.2773791985333,90.5383280305862,112.12656077002534,7077.408067274613,8008.5789022269855,46.669093363121725,101.63773009816873
163.55,2816.8986224519235,1862.0461588972432,90.4053346830465,111.95447391448987,7078.53896493517,8009.9794083715215,46.62734840717581,101.57297816011831
163.60000000000002,2815.899898757352,1860.8167830147963,90.27256327309627,111.78269609198979,7079.668201566429,8011.377765362487,46.585621168078156,101.50821448726496
163.65,2814.9026151178123,1859.5892483234845,90.14001338232374,111.61122666359792,7080.795779939994,8012.773977058797,46.543911700754315,101.44343923745855
163.70000000000002,2813.9067691789887,1858.363551602156,90.00768459313207,111.44006499182257,7081.921702822244,8014.168047311396,46.502220059882546,101.37865256811943
